cluster,n_cycles,duration_mean,duration_std,max_power_mean,max_power_std,mean_power_mean,mean_power_std,energy_mean_kwh,energy_std_kwh,peak_time_mean
23,4,32.5772764375,2.0590458824197913,760.7645263671877,8.328683747477498,157.12275285259923,6.7909625563503715,0.08548620671452978,0.007887883140222082,0.970065820802529
24,2,34.491627175,0.8133778004055076,757.610076904297,3.8583153766661864,159.44341166181266,14.280885810988446,0.09142550519623907,0.0060686435243613975,0.9770462088078677
25,2,28.692741308333332,0.3889154825223643,760.8636474609375,7.772822954815504,132.96092213864188,4.9900634995308195,0.06363365828478072,0.0014327425699468329,0.9945052779419328
26,4,28.615251433333334,0.6328943670051029,785.3487548828125,15.04059258013699,126.40212527619823,8.784173198977436,0.060370722660787024,0.0045851087608577605,0.9951512125484923
27,1,29.783327933333332,,756.418640136719,,141.44624792080668,,0.07057476014185186,,0.9955107056305585
28,1,31.101957966666664,,675.23193359375,,130.48171134220271,,0.06750539458551859,,0.9277951861540087
29,1,43.10358476666667,,773.282470703125,,161.93751304877205,,0.11956844749320988,,0.9736669413196476
30,1,51.08159066666666,,773.910461425781,,123.23361694116227,,0.10520671565300325,,0.9944770177743862
31,1,26.682534716666666,,1021.05810546875,,120.24174766873624,,0.05362345934074661,,0.6823957697368621
32,1,57.883362166666664,,2190.4931640625,,257.91189698217903,,0.25139120785299884,,0.9307243408112881
33,1,46.03637956666667,,2097.1220703125,,277.54672295451724,,0.2473748821294503,,0.27704335192121426
34,2,47.232417166666664,2.3550969164877293,2185.78588867187,35.793828127738955,1223.4729083459047,52.00804566719971,0.9646864863441738,0.008492290042907817,0.04236159427100733
35,1,60.99988495,,2243.66870117188,,987.532308877412,,1.009190701047434,,0.9934288421378138
36,1,46.30426335,,2202.53540039062,,1243.622349128051,,0.9623341617821196,,0.8733656207228043
37,2,24.500245991666667,1.8605772517964059,2144.5115966796848,3.366180450767251,1006.1057790230238,58.254255671650284,0.4112827470528886,0.007531470948013732,0.08623443786527253
38,1,34.65990883333333,,2134.64721679688,,1070.9152680695377,,0.6197168803847698,,0.29057108294595513
39,5,22.882400246666666,1.763638803990693,2172.094873046874,34.82657857510311,1002.8563610521757,58.75473435945044,0.38468879051706173,0.031264116054309746,0.0074410225151857416
40,2,28.141726233333333,0.17613412379434712,2163.3597412109402,36.23974043628876,827.9512559794059,50.85565934650228,0.38772053450704647,0.01962822894255122,0.12397359524104988
41,1,24.400409416666665,,2261.3623046875,,972.9940958378163,,0.3942606394007845,,0.0
42,2,25.801949933333333,2.806854192520777,2230.303955078125,11.890649627579839,1030.0255682913405,62.3724442655508,0.44603748740159366,0.0747082690143308,0.47985079897081495
43,1,22.016320083333333,,2079.74365234375,,1076.4646894439134,,0.39797567441046383,,0.40687767649894674
44,1,20.056209616666667,,2144.06982421875,,1235.310964939873,,0.4145427883852083,,0.3764236949267618
45,2,27.602107258333334,0.39856949355477284,2194.4996337890652,10.518040736655017,841.6456404085206,133.54506147322758,0.38759383158628535,0.0546860404268635,0.44577214125739034
46,1,22.71660885,,2146.40283203125,,748.6589849042751,,0.2837862262982963,,0.0
47,1,24.0459338,,2157.97998046875,,583.1433077154477,,0.2355896799145713,,0.24226465594024493
48,2,44.516422375,6.5047354902774694,2217.0784912109348,53.00970306764186,689.5351893952582,64.74521275389161,0.5091529359001057,0.026888015999430925,0.00036271608558292997
49,2,48.11748829166667,2.9226174131703857,2146.62744140625,12.679584683737682,924.0258188780356,49.51536897613433,0.7414577158457359,0.0047849374026148125,0.39611182795628225
50,1,46.41671611666666,,2176.91723632812,,740.3681678396262,,0.5699015117444955,,0.7108647598497453
51,1,60.03094761666667,,2197.55932617188,,941.4331740149676,,0.9493271412196551,,0.35511044065257263
52,1,21.715789933333333,,2180.923828125,,1215.3841121710207,,0.43794340299602186,,0.9762756850788783
53,1,23.753897666666667,,2185.80395507812,,1070.6891328526492,,0.4244166013855335,,0.9775209075957656
54,2,28.1024706,4.647816785396702,2131.9708251953152,45.397947160396754,729.8610412489361,63.660455192703274,0.34657157368237035,0.08847769052770636,0.9832043979483138
55,1,20.39592748333333,,2155.1494140625,,552.9888532018583,,0.18998787356876964,,0.9688366450914171
56,1,21.852088116666668,,2138.47973632812,,753.7501687859491,,0.2783178809707059,,0.8455287037059394
57,1,30.4670115,,2201.07592773438,,1498.60320866636,,1.1237440607241815,,0.0002434576793626726
