time	value
2026-03-25 21:29:11.790	3.8
2026-03-25 21:38:24.628	2.0
2026-03-25 21:54:27.723	3.8
2026-03-25 21:55:30.814	3.6
2026-03-25 21:56:31.363	4.4
2026-03-25 21:57:31.994	4.0
2026-03-25 21:58:32.598	4.1
2026-03-25 21:59:33.246	4.1
2026-03-25 22:00:33.899	4.2
2026-03-25 22:01:34.450	4.2
2026-03-25 22:02:35.038	4.3
2026-03-25 22:03:35.608	4.3
2026-03-25 22:04:36.222	4.4
2026-03-25 22:05:36.781	4.2
2026-03-25 22:06:37.432	4.3
2026-03-25 22:07:38.032	4.1
2026-03-25 22:08:38.636	4.0
2026-03-25 22:09:39.256	4.4
2026-03-25 22:10:39.867	4.2
2026-03-25 22:11:40.382	4.2
2026-03-25 22:12:41.014	4.2
2026-03-25 22:13:41.567	4.2
2026-03-25 22:14:42.142	4.4
2026-03-25 22:15:42.706	4.4
2026-03-25 22:16:43.230	4.4
2026-03-25 22:17:43.777	4.2
2026-03-25 22:18:44.350	4.2
2026-03-25 22:19:44.921	4.4
2026-03-25 22:20:45.489	4.2
2026-03-25 22:21:46.054	4.5
2026-03-25 22:22:46.650	5.2
2026-03-25 22:23:47.239	4.2
2026-03-25 22:24:47.831	4.4
2026-03-25 22:25:48.455	4.3
2026-03-25 22:26:49.066	4.4
2026-03-25 22:27:49.678	4.3
2026-03-25 22:28:50.233	4.4
2026-03-25 22:29:50.832	4.4
2026-03-25 22:30:51.344	4.6
2026-03-25 22:31:51.944	5.5
2026-03-25 22:32:52.500	5.6
2026-03-25 22:33:53.104	5.9
2026-03-25 22:34:53.770	4.4
2026-03-25 22:35:54.369	4.4
2026-03-25 22:36:54.990	5.1
2026-03-25 22:37:55.584	5.1
2026-03-25 22:38:56.141	5.3
2026-03-25 22:39:56.711	5.1
2026-03-25 22:40:57.321	5.3
2026-03-25 22:41:57.945	4.6
2026-03-25 22:42:58.587	4.5
2026-03-25 22:43:59.149	4.5
2026-03-25 22:44:59.733	4.6
2026-03-25 22:46:00.346	4.8
2026-03-25 22:47:00.980	4.4
2026-03-25 22:48:01.602	4.4
2026-03-25 22:49:02.184	4.3
2026-03-25 22:50:02.912	4.7
2026-03-25 22:51:03.467	5.4
2026-03-25 22:52:03.996	5.2
2026-03-25 22:53:04.572	4.7
2026-03-25 22:54:05.237	6.0
2026-03-25 22:55:05.887	5.4
2026-03-25 22:56:06.478	4.5
2026-03-25 22:57:23.511	4.0
2026-03-25 22:58:39.175	3.7
2026-03-25 23:00:06.731	3.7
2026-03-25 23:01:41.912	3.9
2026-03-25 23:02:55.680	4.5
2026-03-25 23:03:56.190	5.3
2026-03-25 23:04:56.793	4.7
2026-03-25 23:05:57.512	5.0
2026-03-25 23:06:58.370	5.4
